"Marca temporal","A que programa graduado Pertenece?","Cursa un Grado de Maestria o Doctorado?","En que año Cursa?","¿Al sol de Hoy 23 de Septiembre, le Han Pagado?","¿De dónde provienen sus fondos?","Entiende Que Todos los Años Se Tiene el Mismo Problema Con los Pagos?","Para usted es importante que se reforme la manera que se procesan los contratos?","Tiene Personas Que Dependen De Su Estipendio?","Tiene Plan Medico?","Piensa que el PEAF Debe Incluir Plan Medico","Si usted no recibe PEAF, por que firmo la carta que llevo a esta reunion?","Solo Conteste si Usted Firmo la Carta en Solidaridad.  Recibio una Llamada Telefonica Cuestionando Su Apoyo a Sus Compañeros?","Usted Entiende Que Las Llamadas Telefonicas Echas a los Compañeros Solidarios, Son Un Tipo de Persecucion?","Por que Usted Entiende que Todos los Años se Atrasan los Pagos?","Algun otro asunto relacionado a los estipendios que entiende que debe ser tocado en la reunion?","Estan Deacuerdo Con que Los Resultados Del Sondeo Se Hagan Publicos?"
"2019/09/23 5:29:11 p.m. GMT-4","Biología","Maestria","4","Sí","Empleada de la UPR","Sí","Si","No","Sí","Sí","Era TA y me lo han hecho en años anteriores","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:31:13 p.m. GMT-4","Biología","Dotorado","1","No","STEM UPR","Sí","Si","Sí","Sí","Sí","Tampoco he Cobrado","","Sí","El Cambio de Año Fiscal","","Sí"
"2019/09/23 5:34:15 p.m. GMT-4","Biología","Dotorado","1","No","STEM beca ","Sí","Si","No","Sí","Sí","Same problem with receiving the STEM beca","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","The fact that the payment is delayed is also a considerable problem for international students thus depending on the help of their family, being far.","Sí"
"2019/09/23 5:41:00 p.m. GMT-4","Biología","Maestria","4","No","Convenio","Sí","Si","Sí","No","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:45:18 p.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","No","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Certificación 4","Sí"
"2019/09/23 5:46:09 p.m. GMT-4","Biología","Maestria","3","Sí","Convenio","Sí","Si","No","Sí","Sí","No Firme La Carta","","Depende quién haga la llamada y el propósito ","No hay comunicación entre oficinas, mucha burocracia, hay que esperar a que cierta persona este para que firme  no se adignan alternos o los alternos tampoco están disponibles para hacer el trabajo. El pago para los PEAF parece nonser una prioridad  para la administración ","","Sí"
"2019/09/23 5:46:36 p.m. GMT-4","Quimica","Maestria","2","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:49:04 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Debería haber mejor comunicación/coordinación entre las distintas oficinas.","Sí"
"2019/09/23 5:49:33 p.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","No","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Certificación 4","Sí"
"2019/09/23 5:52:41 p.m. GMT-4","Biología","Maestria","2","Sí","Convenio","Sí","Si","Sí","Sí","Sí","En solidaridad","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:55:00 p.m. GMT-4","Biología","Dotorado","1","No","Beca STEM","Sí","Si","No","Sí","Sí","Tampoco he Cobrado","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 6:07:01 p.m. GMT-4","Quimica","Dotorado","5","No","PEAF","No","Si","Sí","Sí","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","los estudiantes internacionales, de que viven?","No"
"2019/09/23 7:01:10 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 7:48:09 p.m. GMT-4","Biología","Dotorado","2","No","PEAF","Sí","Si","Sí","Sí","Sí","","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 7:53:13 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","Sí","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Que cambios se pueden hacer para que el retraso en los pagos no siga pasando","Sí"
"2019/09/23 8:06:36 p.m. GMT-4","Ciencias Ambientales","Maestria","2","Sí","PRLSAMP-BDP","Sí","Si","No","Sí","","No Firme La Carta","","No","Mala comunicacion/prioridades de los partidos responsables","Hay que llenar la solicitud del PEAF para cada semestre o año academico? ","Sí"
"2019/09/23 9:30:42 p.m. GMT-4","Ciencias Ambientales","Maestria","3","No","PEAF","Sí","Si","Sí","No","Sí","","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Aumento en la cantidad que se recibe del estipendio, ya que a pesar del aumento monetario en la ultima decada de muchas cosas el estipendio se mantiene igual y muchas veces no es suficiente para poder enfocarse full time en los estudios atrasando asi la completación del mismo ","Sí"
"2019/09/24 8:17:43 a.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","Sí","Sí","Si recibo PEAF","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/24 8:22:14 a.m. GMT-4","Ciencias Ambientales","Dotorado","1","No","STEM (Lo llené el 19-9-2019, no me daban el formulario PEAF pues no sabían si aplicaba)","No","Si","No","Sí","Sí","No he firmado pues no llegó a mis manos.  Me solidarizo. ","","Sí","La opción #1 y que el Decanato las envía a tiempo pero son devueltas al decanato un mes mas tarde y el proceso se alarga.","STEM primer año doctoral.  Los estudiantes que hicieron reclasificación de maestría a doctorado el semestre pasado y este semestre están en su primer año doctoral aplican?","Sí"
"2019/09/24 8:45:51 a.m. GMT-4","Biología","Maestria","2","Sí","RA de mi laboratorio, no sé si a esto le llamas convenio","Sí","Si","No","Sí","Sí","Mi contrato también se procesó tarde, además, cobro lo mismo que un peaf de maestría, 872 mensuales","No","No","Vagancia e ineficiencia por parte de las personas encargadas del proceso, falta de compromiso y sensibilidad, falta de comunicación entre las oficinas pertinentes ","A loes nuevos estudiantes de doctorado se les dijo que su primer año será sufragado por una beca STEM. En ningún lado dice que las personas reclasificadas a doctorado no aplican (año pasado eran maestría, este semestre comenzaron doctorado) no les aplica. Las oficinas no se ponen de acuerdo en cuanto a los documentos que se piden como evidencia o para el protocolo como tal. Volvemos, no hay comunicación, no se habla el mismo idioma. ","Sí"
"2019/09/24 8:53:44 a.m. GMT-4","Quimica","Dotorado","3","No","PEAF","Sí","Si","Sí","Sí","Sí","","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/24 9:00:18 a.m. GMT-4","Quimica","Maestria","1","No","PEAF","Sí","Si","Sí","Sí","No","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Como desarrollar una manera más eficiente para el desembolso de los fondos.","Sí"
"2019/09/24 9:32:07 a.m. GMT-4","Biología","Dotorado","2","Sí","RISE","Sí","Si","No","Sí","Sí","En solidaridad","Sí","Sí","El Cambio de Año Fiscal","","No"
"2019/09/24 9:54:25 a.m. GMT-4","Biología","Dotorado","1","Sí","RISE","Sí","No","No","Sí","No","En solidaridad","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/24 12:24:06 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","Tampoco he Cobrado","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/24 12:44:48 p.m. GMT-4","Biología","Dotorado","4","No","PEAF","Sí","Si","Sí","Sí","Sí","Tampoco he Cobrado","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","La actitud de los empleados Al procesar la primera nómina.","Sí"
"2019/09/25 10:33:56 a.m. GMT-4","Biología","Maestria","5","No","PEAF","Sí","Si","No","Sí","Sí","Recibo PEAF. Pero la hubiese firmado por solidaridad","","No","Por falta de personal, burocracia e ineficiencia. ","Aumento de estipendio. Se de muchas otras universidades donde pagan mejor que la UPR. Estos estipendios no están atemperados con los aumentos al costo de vida que ha tenido PR. Un mes de mi estipendio de PEAF se va sólo en el plan médico. ","Sí"
"2019/09/25 10:36:30 a.m. GMT-4","Matematicas","Maestria","1","No","PEAF","No","Si","No","Sí","Sí","","","Sí","","","Sí"
"2019/09/25 10:40:54 a.m. GMT-4","Biología","Maestria","3","No","PEAF","No","Si","Sí","No","Sí","","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 11:01:08 a.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","Sí","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 11:08:38 a.m. GMT-4","Biología","Dotorado","3","Sí","RISE","No","Si","No","Sí","No","En solidaridad","Sí","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","No"
"2019/09/25 11:21:23 a.m. GMT-4","Quimica","Dotorado","4","No","NASA EPSCoR","Sí","Si","No","Sí","Sí","Tampoco he Cobrado","","No","Entiendo que la gente se va de vacaciones y el trabajo queda abandonado. Nadie hace el trabajo de otros en la universidad","","Sí"
"2019/09/25 11:30:41 a.m. GMT-4","Biología","Maestria","2","Sí","Grant","Sí","Si","No","Sí","Sí","Cuando estuve en PEAF tuve el mismo problema e incluso ahora he tenido problemas con los pagos ya que en mi opinion la tranca de todo proviene del DEGI. Todo pasa por ellos incluso los pagos de estudiantes que reciben dinero de grants por parte del PI.","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Monto del estipendio","Sí"
"2019/09/25 11:32:43 a.m. GMT-4","Fisica","Maestria","3","No","PEAF","Sí","Si","Sí","Sí","Sí","","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Los pagos iniciales se retrasan constantemente todos los año.","Sí"
"2019/09/25 11:34:19 a.m. GMT-4","Matematicas","Dotorado","2","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","","","No"
"2019/09/25 11:35:28 a.m. GMT-4","Ciencias Ambientales","Dotorado","5","No","","Sí","Si","Sí","Sí","Sí","No Firme La Carta","","No","Ambas aspectos atrasan prro diría que en la medida q el presupuesto sale más tarde , se ham tardado mucho más las PEAF. De todas maneras, sigue el mismo problema.","","Sí"
"2019/09/25 11:46:45 a.m. GMT-4","Biología","Dotorado","5","Sí","RISE","Sí","Si","No","Sí","Sí","No Firme La Carta","","No","","","Sí"
"2019/09/25 11:46:54 a.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Inabilidad del departamento de poner el deposito directo para el PEAF.","Sí"
"2019/09/25 11:47:41 a.m. GMT-4","Matematicas","Maestria","2","No","PRLSAMP-BDP","Sí","Si","Sí","Sí","Sí","En solidaridad","Sí","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 11:58:19 a.m. GMT-4","Quimica","Dotorado","3","No","Nasa","Sí","Si","No","Sí","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","No"
"2019/09/25 12:01:39 p.m. GMT-4","Biología","Dotorado","2","No","PEAF","Sí","Si","Sí","No","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","La asistencia de los administradores en tiempos de matricula y contrataciones, personas que dan servicios a estudiantes se van de vacaciones en medio de estos procesos y no hay nadie que los sustituya. Esto crea ineficiencia de los procesos administrativos. ","Sí"
"2019/09/25 12:18:36 p.m. GMT-4","Biología","Dotorado","4","Sí","GRFP ","Sí","Si","Sí","Sí","Sí","A pesar de que no recibo PEAF al momento, en mi primer año lo recibí y tuve problemas. De igual forma, the visto cómo compañeros del programa graduado pasan necesidades para atender sus necesidades básicas y, por consiguiente, para poder enfocarse en sus proyectos y estudios. ","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Esto ya se vuelve una cuestión de respeto para unos estudiantes que suelen tener tareas que exceden el tiempo requerido para el trabajo que firmaron mediante el PEAF","Sí"
"2019/09/25 12:52:55 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 12:59:18 p.m. GMT-4","Biología","Dotorado","3","No","PEAF","No","Si","No","Sí","Sí","","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 1:05:52 p.m. GMT-4","Biología","Maestria","5","No","ahorros","Sí","Si","No","Sí","Sí","En solidaridad y en años que he recibido PEAF he cobrado tarde siempre.","No","Sí","No conozco a profundidad el proceso como para determinar dónde puede estar ocurriendo el problema. Aunque me parece que en el DEGI en tiempos recientes hay falta de personal. Sin embargo, en años anteriores el problema ha sido el mismo.","Además del atraso y falta de pago: El estipendio debería ser de mayor cantidad o incluir plan médico; la PEAF no debería limitar al estudiante a que este sea su única manera de generar ingreso.","Sí"
"2019/09/25 1:10:41 p.m. GMT-4","Matematicas","Dotorado","2","No","PEAF","No","Si","No","Sí","Sí","","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Otra forma de agilizar el proceso en el pago de las ayudantias","Sí"
"2019/09/25 1:15:38 p.m. GMT-4","Biología","Maestria","5","No","Convenio","No","Si","Sí","Sí","Sí","Tampoco he Cobrado","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Aunque nos repiten que los estipendios no sirven para mantener a los estudiantes, la realidad es que si lo hacen, por eso son importantes","Sí"
"2019/09/25 1:40:52 p.m. GMT-4","Biología","Dotorado","4","No","PEAF","Sí","Si","No","No","Sí","Tampoco he Cobrado","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 1:55:36 p.m. GMT-4","Biología","Maestria","3","Sí","Beca NSF","No","Si","Sí","No","Sí","En solidaridad","No","No","No hay empleados, no hay chavos por el PNP y la JCF","","Sí"
"2019/09/25 2:01:00 p.m. GMT-4","Ciencias Ambientales","Dotorado","3","No","N/A Al momento sin fondos. ","Sí","Si","Sí","No","Sí","Porque en los casos que he participado el PEAF se ha presentado el mismo problema y me he visto afectada totalmente ","No","No","Falta de planificación . Los estudiantes dependemos de estos pagos. Y es una falta de consideración el no tener a tiempo estos pagos. ","","Sí"
"2019/09/25 2:23:52 p.m. GMT-4","Ciencias Ambientales","Dotorado","4","Sí","PRCEN-CREST","Sí","Si","Sí","Sí","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 3:24:31 p.m. GMT-4","Ciencias Ambientales","Dotorado","7","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 5:49:05 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/25 6:19:18 p.m. GMT-4","Quimica","Dotorado","10","No","MARC","Sí","Si","Sí","Sí","Sí","Tampoco he Cobrado","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/26 9:58:15 a.m. GMT-4","Biología","Dotorado","4","No","PEAF","Sí","Si","Sí","Sí","Sí","Tampoco he Cobrado","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/26 10:00:49 a.m. GMT-4","Quimica","Dotorado","9","Sí","RISE","Sí","Si","Sí","Sí","Sí","En solidaridad","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/26 10:21:26 a.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","Sí","Sí","Sí","","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Algún tipo de plan de de contingencias para estos casos. Si la paga no va llegar y lo saben tenernos comida todos los días no estaría mal. Si se atrasan los pago un compencasion por sobrevivir sin dinero, seguir dando clases y tomando clases no sería mucho pedir. ","Sí"
"2019/09/27 4:54:29 a.m. GMT-4","Ciencias Ambientales","Dotorado","3","No","","Sí","Si","Sí","Sí","Sí","En solidaridad","No","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/28 4:21:43 p.m. GMT-4","Ciencias Ambientales","Maestria","3","Sí","PRCEN","Sí","Si","","Sí","Sí","No Firme La Carta","","Sí","Burocracia","","Sí"
"2019/09/29 1:26:49 a.m. GMT-4","Biología","Dotorado","5","Sí","Beca Gilliam HHMI","Sí","Si","Sí","No","Sí","He estado otros años dependiendo el sistema de cobro de la universidad y ha sido completamente ineficiente. Me llegó a afectar el crédito y genera un stress económico que realmente no debemos tener durante escuela graduada. ","No","Sí","Los procesos burocráticos para procesar estos contratos son completamente innecesarios. Deben cambiar el mecanismo o buscar la manera de agilizar y priorizar el proceso. ","Nuestros estudiantes necesitan mejores estipendios. Lo que nos ofrecen no da para vivir y nuestro trabajo es la fuerza motriz de la universidad. ","Sí"